store_id,uptime_last_hour(minutes),downtime_last_hour(minutes),uptime_last_day(hours),downtime_last_day(hours),update_last_week(days),downtime_last_week(days)
6037899105612538467,60,0,24,0,7,0
734323051093970964,60,0,24,0,7,0
3919389831997155147,60,0,24,0,7,0
5658462824509404128,60,0,24,0,7,0
8177720468539840951,60,0,24,0,7,0
5159224775776161342,60,0,24,0,7,0
6908316526509204317,60,0,24,0,7,0
3365112782906864805,60,0,24,0,7,0
869150141145156759,60,0,24,0,7,0
305363387441199517,60,0,24,0,7,0
997236235537428986,60,0,24,0,7,0
5871853780593130581,60,0,24,0,7,0
7135524174341196737,60,0,24,0,7,0
1394442644196079980,60,0,24,0,7,0
3747425348180577836,60,0,24,0,7,0
520015528942543172,60,0,24,0,7,0
2318974247451405361,60,0,24,0,7,0
7435565125869901349,60,0,24,0,7,0
7312749566689098421,60,0,24,0,7,0
2225219938220197351,60,0,24,0,7,0
4476869609123006590,60,0,24,0,7,0
4213908551193210953,60,0,24,0,7,0
1587477617198682096,60,0,24,0,7,0
6642226438879069200,60,0,24,0,7,0
4395651411285274624,60,0,24,0,7,0
8705773233781333649,60,0,24,0,7,0
6957083785738308678,60,0,24,0,7,0
3442819202743257753,60,0,24,0,7,0
8452777618327034567,60,0,24,0,7,0
8235697395119495581,60,0,24,0,7,0
3727388910970924909,60,0,24,0,7,0
9120820641756682904,60,0,24,0,7,0
763392497407400668,60,0,24,0,7,0
